date,cases,deaths
2020-02-26,0,0
2020-02-27,0,0
2020-02-28,0,0
2020-02-29,0,0
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,1,0
2020-03-11,1,0
2020-03-12,2,0
2020-03-13,0,0
2020-03-14,2,0
2020-03-15,0,0
2020-03-16,0,0
2020-03-17,4,0
2020-03-18,9,0
2020-03-19,9,0
2020-03-20,9,0
2020-03-21,23,0
2020-03-22,12,0
2020-03-23,14,0
2020-03-24,12,0
2020-03-25,25,1
2020-03-26,45,0
2020-03-27,27,1
2020-03-28,2,0
2020-03-29,29,0
2020-03-30,15,1
2020-03-31,33,1
2020-04-01,32,0
2020-04-02,28,1
2020-04-03,62,0
2020-04-04,14,1
2020-04-05,8,1
2020-04-06,63,0
2020-04-07,27,1
2020-04-08,47,1
2020-04-09,63,3
2020-04-10,18,2
2020-04-11,4,1
2020-04-12,13,1
2020-04-13,11,0
2020-04-14,36,2
2020-04-15,47,1
2020-04-16,33,0
2020-04-17,22,3
2020-04-18,29,2
2020-04-19,23,0
2020-04-20,35,3
2020-04-21,15,0
2020-04-22,19,0
2020-04-23,71,2
2020-04-24,67,2
2020-04-25,35,3
2020-04-26,70,1
2020-04-27,62,7
2020-04-28,58,3
2020-04-29,82,5
2020-04-30,98,1
2020-05-01,63,7
2020-05-02,90,4
2020-05-03,47,3
2020-05-04,45,9
2020-05-05,104,5
2020-05-06,235,8
2020-05-07,79,3
2020-05-08,318,1
2020-05-09,46,4
2020-05-10,49,2
2020-05-11,34,8
2020-05-12,341,6
2020-05-13,0,0
2020-05-14,80,9
2020-05-15,600,6
2020-05-16,98,6
2020-05-17,40,10
2020-05-18,0,2
2020-05-19,15,7
2020-05-20,1223,10
2020-05-21,500,5
2020-05-22,445,6
2020-05-23,418,4
2020-05-24,134,4
2020-05-25,89,17
2020-05-26,226,6
2020-05-27,263,6
2020-05-28,1186,4
2020-05-29,0,0
2020-05-30,1008,5
2020-05-31,90,6
2020-06-01,0,8
2020-06-02,587,13
2020-06-03,479,13
2020-06-04,612,7
2020-06-05,573,11
2020-06-06,454,7
2020-06-07,98,3
2020-06-08,115,5
2020-06-09,552,10
2020-06-10,817,15
2020-06-11,549,7
2020-06-12,216,14
2020-06-13,243,7
2020-06-14,34,6
2020-06-15,777,10
2020-06-16,1033,14
2020-06-17,657,13
2020-06-18,694,19
2020-06-19,765,17
2020-06-20,551,7
2020-06-21,210,4
2020-06-22,362,24
2020-06-23,1154,19
2020-06-24,1145,23
2020-06-25,1051,0
2020-06-26,1054,40
2020-06-27,886,14
2020-06-28,243,5
2020-06-29,416,23
2020-06-30,1282,32
2020-07-01,1230,22
2020-07-02,1024,27
2020-07-03,1176,27
2020-07-04,1248,25
2020-07-05,336,12
2020-07-06,446,32
2020-07-07,1399,32
2020-07-08,1757,34
2020-07-09,877,45
2020-07-10,1056,49
2020-07-11,1230,24
2020-07-12,520,19
2020-07-13,416,33
2020-07-14,1337,65
2020-07-15,1246,41
2020-07-16,3105,40
2020-07-17,1366,25
2020-07-18,137,63
2020-07-19,266,23
2020-07-20,336,33
2020-07-21,2391,64
2020-07-22,3233,48
2020-07-23,1768,59
2020-07-24,2166,38
2020-07-25,2111,60
2020-07-26,661,17
2020-07-27,265,40
2020-07-28,2303,69
2020-07-29,2149,70
2020-07-30,1977,75
2020-07-31,219,51
