date,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
2020-02-15,4,1,-8,3,2,1
2020-02-16,-2,1,-15,-2,-3,2
2020-02-17,-2,-1,-14,2,10,1
2020-02-18,-3,0,-20,4,11,1
2020-02-19,1,2,1,4,12,0
2020-02-20,1,2,-4,9,11,-1
2020-02-21,3,8,-8,13,10,-1
2020-02-22,-3,5,4,12,-6,0
2020-02-23,4,6,19,-4,-3,3
2020-02-24,-16,-5,68,-27,-41,7
2020-02-25,-41,-35,18,-31,-56,10
2020-02-26,-9,2,-10,-3,1,2
2020-02-27,-4,0,-5,3,11,1
2020-02-28,2,4,-8,3,12,0
2020-02-29,4,7,-10,2,4,2
2020-03-01,1,8,-14,-1,0,4
2020-03-02,2,3,-13,6,18,0
2020-03-03,3,5,-13,8,17,-1
2020-03-04,3,6,-2,7,17,-1
2020-03-05,3,3,-3,9,17,-1
2020-03-06,13,11,-7,14,18,-2
2020-03-07,17,15,-8,11,7,0
2020-03-08,14,10,-14,5,2,2
2020-03-09,6,4,-7,11,20,-1
2020-03-10,3,6,-14,11,19,-1
2020-03-11,3,5,-3,9,18,-1
2020-03-12,2,3,-8,12,17,-1
2020-03-13,2,3,-12,9,17,-1
2020-03-14,2,6,-13,3,6,1
2020-03-15,-11,5,-32,-8,-3,4
2020-03-16,-10,8,-31,-3,15,2
2020-03-17,-15,11,-25,-9,10,3
2020-03-18,-26,7,-32,-21,0,7
2020-03-19,-36,2,-35,-29,-13,11
2020-03-20,-45,1,-49,-39,-21,14
2020-03-21,-69,-19,-69,-53,-37,18
2020-03-22,-80,-45,-81,-67,-40,22
2020-03-23,-72,-33,-63,-62,-51,24
2020-03-24,-75,-37,-65,-65,-57,25
2020-03-25,-74,-33,-58,-65,-57,26
2020-03-26,-73,-35,-58,-64,-57,26
2020-03-27,-71,-30,-60,-64,-55,26
2020-03-28,-74,-31,-67,-63,-46,20
2020-03-29,-75,-39,-73,-67,-36,20
2020-03-30,-64,-29,-54,-61,-48,23
2020-03-31,-63,-21,-53,-59,-48,21
2020-04-01,-60,-16,-46,-57,-47,21
2020-04-02,-64,-22,-57,-60,-49,23
2020-04-03,-61,-17,-57,-58,-46,23
2020-04-04,-65,-17,-62,-56,-38,18
2020-04-05,-70,-28,-68,-62,-31,18
2020-04-06,-55,-14,-55,-56,-41,21
2020-04-07,-50,-4,-46,-49,-39,18
2020-04-08,-49,-2,-39,-48,-39,18
2020-04-09,-46,12,-39,-45,-39,17
2020-04-10,-80,-51,-61,-72,-76,30
2020-04-11,-56,2,-57,-49,-36,17
2020-04-12,-70,-30,-68,-56,-22,14
2020-04-13,-50,-20,-47,-50,-33,18
2020-04-14,-53,-19,-53,-52,-34,18
2020-04-15,-51,-13,-44,-50,-33,18
2020-04-16,-51,-16,-45,-49,-33,18
2020-04-17,-49,-13,-51,-49,-31,19
2020-04-18,-55,-12,-55,-46,-24,15
2020-04-19,-64,-24,-61,-56,-22,16
2020-04-20,-43,-7,-37,-47,-34,16
2020-04-21,-71,-44,-40,-65,-67,24
2020-04-22,-45,-9,-36,-45,-26,15
2020-04-23,-49,-16,-41,-45,-27,17
2020-04-24,-48,-14,-45,-46,-26,17
2020-04-25,-52,-11,-50,-44,-20,14
2020-04-26,-66,-25,-67,-57,-22,16
2020-04-27,-47,-18,-48,-48,-24,16
